Time,Sine,Cosine,Random_Walk,Exp_Decay
0.00,0.0000,1.0000,-0.1680,1.0000
0.10,0.0998,0.9950,-0.2298,0.9802
0.20,0.1987,0.9801,-0.1509,0.9608
0.30,0.2955,0.9553,-0.1560,0.9418
0.40,0.3894,0.9211,-0.2651,0.9231
0.50,0.4794,0.8776,-0.2962,0.9048
0.60,0.5646,0.8253,-0.2181,0.8869
0.70,0.6442,0.7648,-0.1836,0.8694
0.80,0.7174,0.6967,-0.1800,0.8521
0.90,0.7833,0.6216,-0.1515,0.8353
1.00,0.8415,0.5403,-0.2216,0.8187
1.10,0.8912,0.4536,-0.3343,0.8025
1.20,0.9320,0.3624,-0.3742,0.7866
1.30,0.9636,0.2675,-0.3298,0.7711
1.40,0.9854,0.1700,-0.3440,0.7558
1.50,0.9975,0.0707,-0.3161,0.7408
1.60,0.9996,-0.0292,-0.1934,0.7261
1.70,0.9917,-0.1288,-0.1755,0.7118
1.80,0.9738,-0.2272,-0.3784,0.6977
1.90,0.9463,-0.3233,-0.3016,0.6839
2.00,0.9093,-0.4161,-0.2842,0.6703
2.10,0.8632,-0.5048,-0.4068,0.6570
2.20,0.8085,-0.5885,-0.2396,0.6440
2.30,0.7457,-0.6663,-0.1553,0.6313
2.40,0.6755,-0.7374,-0.2730,0.6188
2.50,0.5985,-0.8011,-0.2828,0.6065
2.60,0.5155,-0.8569,-0.2606,0.5945
2.70,0.4274,-0.9041,-0.1190,0.5827
2.80,0.3350,-0.9422,-0.0861,0.5712
2.90,0.2392,-0.9710,-0.1166,0.5599
3.00,0.1411,-0.9900,0.0673,0.5488
3.10,0.0416,-0.9991,0.0130,0.5379
3.20,-0.0584,-0.9983,-0.0419,0.5273
3.30,-0.1577,-0.9875,0.0613,0.5169
3.40,-0.2555,-0.9668,0.0974,0.5066
3.50,-0.3508,-0.9365,0.1537,0.4966
3.60,-0.4425,-0.8968,0.1240,0.4868
3.70,-0.5298,-0.8481,0.1448,0.4771
3.80,-0.6119,-0.7910,0.3766,0.4677
3.90,-0.6878,-0.7259,0.4914,0.4584
4.00,-0.7568,-0.6536,0.4649,0.4493
4.10,-0.8183,-0.5748,0.2751,0.4404
4.20,-0.8716,-0.4903,0.1799,0.4317
4.30,-0.9162,-0.4008,0.1538,0.4232
4.40,-0.9516,-0.3073,0.1327,0.4148
4.50,-0.9775,-0.2108,0.1171,0.4066
4.60,-0.9937,-0.1122,-0.1238,0.3985
4.70,-0.9999,-0.0124,-0.0566,0.3906
4.80,-0.9962,0.0875,-0.1011,0.3829
4.90,-0.9825,0.1865,-0.1571,0.3753
5.00,-0.9589,0.2837,-0.1426,0.3679
5.10,-0.9258,0.3780,-0.1265,0.3606
5.20,-0.8835,0.4685,-0.1820,0.3535
5.30,-0.8323,0.5544,-0.0094,0.3465
5.40,-0.7728,0.6347,0.0438,0.3396
5.50,-0.7055,0.7087,-0.0602,0.3329
5.60,-0.6313,0.7756,-0.1239,0.3263
5.70,-0.5507,0.8347,-0.2350,0.3198
5.80,-0.4646,0.8855,-0.1973,0.3135
5.90,-0.3739,0.9275,-0.3350,0.3073
6.00,-0.2794,0.9602,-0.3515,0.3012
6.10,-0.1822,0.9833,-0.3561,0.2952
6.20,-0.0831,0.9965,-0.2175,0.2894
6.30,0.0168,0.9999,-0.2088,0.2837
6.40,0.1165,0.9932,-0.2088,0.2780
6.50,0.2151,0.9766,-0.0982,0.2725
6.60,0.3115,0.9502,-0.0704,0.2671
6.70,0.4048,0.9144,-0.2385,0.2618
6.80,0.4941,0.8694,-0.2760,0.2567
6.90,0.5784,0.8157,-0.1960,0.2516
7.00,0.6570,0.7539,-0.1588,0.2466
7.10,0.7290,0.6845,-0.0784,0.2417
7.20,0.7937,0.6084,-0.1010,0.2369
7.30,0.8504,0.5261,-0.1497,0.2322
7.40,0.8987,0.4385,-0.2731,0.2276
7.50,0.9380,0.3466,-0.2855,0.2231
7.60,0.9679,0.2513,-0.1685,0.2187
7.70,0.9882,0.1534,-0.2277,0.2144
7.80,0.9985,0.0540,-0.2728,0.2101
7.90,0.9989,-0.0460,-0.3188,0.2060
8.00,0.9894,-0.1455,-0.4971,0.2019
8.10,0.9699,-0.2435,-0.5476,0.1979
8.20,0.9407,-0.3392,-0.5553,0.1940
8.30,0.9022,-0.4314,-0.5712,0.1901
8.40,0.8546,-0.5193,-0.5060,0.1864
8.50,0.7985,-0.6020,-0.4459,0.1827
8.60,0.7344,-0.6787,-0.4366,0.1791
8.70,0.6630,-0.7486,-0.5803,0.1755
8.80,0.5849,-0.8111,-0.5398,0.1720
8.90,0.5010,-0.8654,-0.4501,0.1686
9.00,0.4121,-0.9111,-0.3703,0.1653
9.10,0.3191,-0.9477,-0.4187,0.1620
9.20,0.2229,-0.9748,-0.3296,0.1588
9.30,0.1245,-0.9922,-0.3607,0.1557
9.40,0.0248,-0.9997,-0.3980,0.1526
9.50,-0.0752,-0.9972,-0.3659,0.1496
9.60,-0.1743,-0.9847,-0.3575,0.1466
9.70,-0.2718,-0.9624,-0.3913,0.1437
9.80,-0.3665,-0.9304,-0.3582,0.1409
9.90,-0.4575,-0.8892,-0.3079,0.1381
